u,g,r,i,z,gaia_g,bp,rp
18.1184,17.1138,16.7327,16.5811,16.5267,16.74625,17.05228,16.26155
17.817,16.8645,16.5435,16.3992,16.4054,16.54478,16.82208,16.10537
18.4233,17.5025,17.241,17.1319,17.0983,17.2152,17.47342,16.8056
15.959,15.0091,14.7175,14.6138,14.5919,14.69939,14.95286,14.27949
17.5687,16.629,16.3026,16.1838,16.1967,16.30356,16.56413,15.87279
17.9599,17.0071,16.7196,16.636,16.6015,16.70833,16.96212,16.29527
17.4144,16.5023,16.1495,16.006,15.9697,16.13404,16.42906,15.66401
17.0703,16.1817,15.8371,15.7803,15.7847,15.8346,16.10268,15.4008
17.2893,16.3633,16.0309,15.8803,15.8396,16.01352,16.30902,15.53959
17.1665,16.2197,15.871,15.7175,15.6806,15.86349,16.15458,15.39749
17.7123,16.7135,16.3658,16.1944,16.1364,16.33714,16.64135,15.85637
16.681,15.7678,15.4106,15.2966,15.2581,15.40882,15.67863,14.9722
18.23,17.2341,16.94,16.825,16.7754,16.93042,17.21994,16.49298
16.96769,16.0935,15.78536,15.66992,15.64988,15.77785,16.05451,15.33216
17.4885,16.4668,16.1101,15.9789,15.9269,16.1216,16.40975,15.67174
16.5771,15.5971,15.2846,15.1693,15.1604,15.27731,15.54968,14.83876
16.4209,15.4697,15.134,14.9949,14.9449,15.10874,15.39242,14.6621
18.4267,17.5097,17.1864,17.0601,17.0322,17.18374,17.48515,16.72353
16.862,15.9168,15.5925,15.4782,15.4475,15.59103,15.86308,15.15328
17.5851,16.5979,16.3,16.2292,16.2149,16.30608,16.5484,15.90315
17.3244,16.3343,15.9498,15.7847,15.7334,15.93209,16.23378,15.46319
16.0757,15.2419,14.9225,14.7802,14.7499,14.89888,15.17376,14.44984
17.959,16.9979,16.6119,16.4519,16.4105,16.61127,16.93017,16.11885
17.8128,16.7924,16.4694,16.3482,16.306,16.46388,16.75113,16.01152
17.2513,16.2488,15.9029,15.7305,15.7279,15.87115,16.15427,15.42507
17.5759,16.6288,16.2858,16.1443,16.1347,16.27924,16.55694,15.83305
17.8654,16.9428,16.5645,16.4017,16.3714,16.56999,16.88895,16.07674
